Title,Price,Rating,Review Count,Prime,Sustainability
"BROOKLYN COFFEE Whole Bean, Italian Dark Roast (5lb) Extra Strong, Delicious Taste, Heavenly Aroma - Fresh Bulk Coffee Beans Roasted Weekly in NYC",$43.99,4.5 out of 5 stars,"8,087",Yes,Yes
SAN FRANCISCO BAY,$21.99,4.4 out of 5 stars,"22,527",Yes,No
Death Wish Coffee,$16.48,4.6 out of 5 stars,"19,767",Yes,Yes
Fresh Roasted Coffee,$39.95,4.3 out of 5 stars,"3,901",Yes,Yes
Lavazza,$14.98,4.6 out of 5 stars,"46,749",Yes,No
Tim Hortons,$5.98,4.5 out of 5 stars,"4,838",Yes,Yes
Lavazza,$17.99,4.5 out of 5 stars,"30,646",Yes,Yes
Amazon Fresh,$19.18,4.2 out of 5 stars,"28,398",Yes,Yes
SAN FRANCISCO BAY,$20.99,4.4 out of 5 stars,"22,527",Yes,No
Lavazza,$17.99,4.6 out of 5 stars,"15,342",Yes,No
Amazon Fresh,$7.19,4.2 out of 5 stars,"28,398",Yes,Yes
Fire Department Coffee,$49.99,4.5 out of 5 stars,"1,081",Yes,Yes
Don Francisco's,$18.99,4.5 out of 5 stars,"1,029",Yes,No
"Grounds & Hounds Belly Rub Blend - 100% Organic Whole Bean Coffee, Medium Roast Coffee Beans, Bulk Coffee, 2lbs",$34.99,4.4 out of 5 stars,71,Yes,Yes
Peet's Coffee,$13.58,4.6 out of 5 stars,"7,859",Yes,No
Cameron's Coffee,$10.98,4.3 out of 5 stars,"1,025",Yes,No
Amazon Fresh,$5.33,4.2 out of 5 stars,"28,398",Yes,Yes
STUMPTOWN COFFEE ROASTERS,$14.98,4.3 out of 5 stars,"3,528",Yes,Yes
Koffee Kult,$31.99,4.4 out of 5 stars,"8,611",Yes,Yes
Caffè Borbone,$20.00,4.2 out of 5 stars,410,Yes,Yes
Kicking Horse,$25.00,4.6 out of 5 stars,"7,343",Yes,Yes
"BROOKLYN COFFEE Whole Bean, Italian Dark Roast (2lb) Extra Strong, Delicious Taste, Heavenly Aroma - Fresh Bulk Coffee Beans Roasted Weekly in NYC",$23.99,4.3 out of 5 stars,360,Yes,Yes
Illy,$11.99,4.5 out of 5 stars,"8,048",Yes,Yes
Lavazza,$14.98,4.7 out of 5 stars,"3,849",Yes,No
Copper Moon,$16.98,4.4 out of 5 stars,"5,676",Yes,No
Mt. Comfort Coffee,$23.19,4.4 out of 5 stars,"2,151",Yes,Yes
Kauai Coffee,$6.98,4.4 out of 5 stars,"6,340",Yes,No
Eight O'Clock Coffee,$14.54,4.6 out of 5 stars,"17,850",Yes,No
Starbucks,$15.49,4.6 out of 5 stars,"7,415",No,No
"Blue Bottle Whole Bean Organic Coffee, Balanced, Medium Roast, 12 Ounce bag (Pack of 1)",$12.79,4.4 out of 5 stars,116,Yes,Yes
STUMPTOWN COFFEE ROASTERS,$12.79,4.2 out of 5 stars,"6,717",Yes,No
Kicking Horse,$7.99,4.4 out of 5 stars,"2,378",Yes,Yes
Dunkin',$47.75,4.7 out of 5 stars,"2,288",Yes,No
Lavazza,$20.99,4.5 out of 5 stars,"13,372",No,Yes
Kicking Horse,$25.00,4.6 out of 5 stars,"7,343",Yes,Yes
Cameron's Coffee,$23.38,4.5 out of 5 stars,745,Yes,No
"Blue Bottle Whole Bean Organic Coffee, Espresso, Dark Roast, 12 Ounce bag (Pack of 1)",$12.79,4.2 out of 5 stars,839,Yes,Yes
Starbucks,$18.98,4.7 out of 5 stars,"7,786",Yes,No
Kicking Horse,$57.88,4.5 out of 5 stars,"5,239",Yes,Yes
Lavazza,$25.00,4.5 out of 5 stars,"2,777",Yes,Yes
Lavazza,$36.90,4.7 out of 5 stars,"1,343",Yes,No
Hills Bros,$8.61,4.5 out of 5 stars,"1,140",Yes,No
Kicking Horse,$35.89,4.4 out of 5 stars,"4,050",Yes,Yes
Amazon Fresh,$18.82,4.3 out of 5 stars,"41,952",Yes,Yes
Starbucks,$53.94,4.6 out of 5 stars,"1,180",Yes,No
Peet's Coffee,$28.99,4.5 out of 5 stars,357,Yes,Yes
2LB Don Pablo Gourmet Coffee - Signature Blend - Medium Dark Roast - Whole Bean Coffee - 100% Arabica Beans - Low Acidity and Non-GMO - 2lb bag,$23.49,4.6 out of 5 stars,"9,583",No,Yes
Starbucks Kirkland Signature Medium Roast Coffee Beans Pack of 2,$34.29,4.5 out of 5 stars,288,No,No
Lavazza,$20.90,4.5 out of 5 stars,"2,406",Yes,Yes
Starbucks,$50.88,4.6 out of 5 stars,"1,382",Yes,No
Peet's Coffee,$47.94,4.6 out of 5 stars,"2,607",Yes,No
Don Francisco's,$12.04,4.5 out of 5 stars,"1,029",Yes,No
Lavazza,$18.10,4.5 out of 5 stars,"5,633",Yes,Yes
Lavazza,$22.99,4.6 out of 5 stars,"1,721",Yes,Yes
Lavazza,$51.50,4.8 out of 5 stars,669,Yes,No
Lavazza,$25.00,4.6 out of 5 stars,"1,920",Yes,Yes
Community Coffee,$41.94,4.6 out of 5 stars,480,Yes,No
Kicking Horse,$35.20,4.5 out of 5 stars,"1,531",Yes,Yes
Bones Coffee Company,$17.99,4.5 out of 5 stars,"17,778",Yes,Yes
Starbucks,$41.99,4.6 out of 5 stars,"1,050",No,No
Amazon Fresh,$18.10,4.3 out of 5 stars,428,Yes,Yes
Cafe La Llave,$33.98,4.7 out of 5 stars,"6,112",Yes,No
Lavazza,$36.44,4.8 out of 5 stars,"2,823",No,No
Jose's Whole Bean Coffee Vanilla Nut 3 Lbs,$27.50,4.7 out of 5 stars,797,No,No
Kicking Horse,$51.16,4.6 out of 5 stars,"1,610",Yes,Yes
365 by Whole Foods Market,$19.99,4.5 out of 5 stars,"3,034",Yes,Yes
Intelligentsia,$14.14,3.9 out of 5 stars,"2,403",Yes,No
Warpath Coffee,$17.99,4.7 out of 5 stars,9,Yes,Yes
Whole Bean Coffee - Organic - Low Acid - Light Roast - Single Origin - 100% Arabica - Nicaraguan Coffee Beans - Direct Trade - Shade-grown - Gourmet Coffee - 2 lb,$34.95,4.2 out of 5 stars,405,Yes,Yes
Copper Moon,$19.22,4.4 out of 5 stars,"2,188",Yes,No
Cameron's Coffee,$22.98,4.2 out of 5 stars,127,Yes,No
Magnum Exotics,$25.48,4.5 out of 5 stars,964,Yes,No
Lavazza,$17.99,4.5 out of 5 stars,"24,623",Yes,Yes
Copper Moon,$19.22,4.4 out of 5 stars,"2,188",Yes,No
Cameron's Coffee,$15.51,4.5 out of 5 stars,449,Yes,No
Mt. Comfort Coffee,$23.50,4.4 out of 5 stars,880,Yes,Yes
Lavazza,$18.99,4.5 out of 5 stars,"2,458",Yes,Yes
Lavazza,$17.50,4.6 out of 5 stars,"4,848",Yes,No
Amazon Fresh,$18.10,4.3 out of 5 stars,847,No,Yes
"Gaviña Old Havana Espresso, Whole Bean, 100% Arabica Coffee, 32 oz Bag, Packaging may Vary",$21.89,4.5 out of 5 stars,"1,143",Yes,No
Black Rifle Coffee Company,$17.99,4.6 out of 5 stars,"4,165",Yes,No
"Ethiopian Coffee, Yirgacheffe Region, USDA Organic, Whole Bean, Kosher, Fresh Roasted, 16-ounce",$19.99,4.3 out of 5 stars,"7,252",Yes,Yes
Real Good Coffee Company,$29.99,4.4 out of 5 stars,"4,760",Yes,Yes
Kicking Horse,$10.00,4.4 out of 5 stars,"3,359",Yes,Yes
Green Coffee Traders,$39.99,4.3 out of 5 stars,"2,094",Yes,No
Cameron's Coffee,$18.99,4.6 out of 5 stars,877,Yes,No
Death Wish Coffee,$17.48,4.6 out of 5 stars,496,Yes,Yes
Allegro Coffee,$18.12,4.5 out of 5 stars,"1,109",Yes,Yes
2LB Subtle Earth Organic Coffee - Medium-Dark Roast - Whole Bean Coffee - 100% Arabica Beans - Low Acidity and Non-GMO - 2lb bag,$24.49,4.5 out of 5 stars,"8,235",No,Yes
Kicking Horse,$11.00,4.4 out of 5 stars,"3,252",Yes,Yes
Copper Moon,$15.98,4.2 out of 5 stars,"1,410",Yes,No
Seattle's Best Coffee,$41.94,4.6 out of 5 stars,284,Yes,No
Death Wish Coffee,$14.99,4.6 out of 5 stars,"7,362",Yes,Yes
Allegro Coffee,$11.99,4.4 out of 5 stars,"2,766",Yes,Yes
Mayorga,$13.99,4.6 out of 5 stars,"10,415",Yes,Yes
Allegro Coffee,$11.99,4.4 out of 5 stars,824,Yes,Yes
"Dark Roast Organic Whole Bean Coffee by Four Sigmatic | Fair Trade Coffee Beans Coated with Lion's Mane, Chaga Mushrooms | Nootropic Mushroom Coffee for Enhanced Brain Function & Immune Support | 12oz",$19.99,4.5 out of 5 stars,429,Yes,Yes
Java Planet,$22.99,4.5 out of 5 stars,"6,270",Yes,Yes
Farm-fresh: 100% Kona Coffee - Medium Roast - Arabica Whole Beans - 1 Lb or 16 oz Bag - Blue Horse 100% Kona Coffee from the Big Island of Hawaii,$54.95,4.5 out of 5 stars,"1,798",Yes,Yes
Roast Ridge,$14.99,4.3 out of 5 stars,153,Yes,No
Amazon Fresh,$8.23,4.3 out of 5 stars,"3,019",Yes,Yes
Gevalia,$6.98,4.4 out of 5 stars,581,Yes,No
Lavazza,$9.49,4.5 out of 5 stars,973,Yes,No
Intelligentsia,$13.65,4.1 out of 5 stars,"1,521",Yes,Yes
LIFEBOOST,$27.95,4.3 out of 5 stars,227,Yes,Yes
Cameron's Coffee,$22.98,4.3 out of 5 stars,52,No,No
Allegro Coffee,$11.99,4.5 out of 5 stars,"1,810",Yes,Yes
"BROOKLYN COFFEE Whole Bean, Italian Dark Roast (5lb) Extra Strong, Delicious Taste, Heavenly Aroma - Fresh Bulk Coffee Beans Roasted Weekly in NYC",$43.99,4.5 out of 5 stars,"8,087",Yes,No
Koffee Kult,$31.99,4.4 out of 5 stars,"8,611",Yes,No
"BROOKLYN COFFEE Whole Bean, Italian Dark Roast (2lb) Extra Strong, Delicious Taste, Heavenly Aroma - Fresh Bulk Coffee Beans Roasted Weekly in NYC",$23.99,4.3 out of 5 stars,360,Yes,No
Alto Grande,$42.63,4.6 out of 5 stars,"1,082",Yes,No
Caffè Borbone,$22.00,4.2 out of 5 stars,410,Yes,Yes
Java Planet,$21.99,4.5 out of 5 stars,"6,270",Yes,Yes
365 by Whole Foods Market,$19.49,4.4 out of 5 stars,"1,520",Yes,Yes
Mayorga,$23.99,4.5 out of 5 stars,"1,588",Yes,Yes
Fire Department Coffee,$49.99,4.5 out of 5 stars,"1,081",Yes,No
La Colombe,$24.88,4.6 out of 5 stars,56,No,No
Allegro Coffee,$9.99,4.4 out of 5 stars,"2,221",Yes,No
La Colombe,$13.40,4.3 out of 5 stars,205,Yes,Yes
KIMBO,$19.44,4.3 out of 5 stars,"2,088",No,No
Fresh Roasted Coffee,$39.95,4.3 out of 5 stars,"3,901",Yes,No
Lola Savannah,$32.54,4.5 out of 5 stars,752,Yes,No
Black Rifle Coffee Company,$17.99,4.7 out of 5 stars,279,Yes,No
Black Rifle Coffee Company,$17.99,4.6 out of 5 stars,"2,321",Yes,No
Ruta Maya,$47.90,4.3 out of 5 stars,55,No,No
"32 Ounce (2 LB) NON-GMO Single Origin Dark Roast Brazil Coffee, Low Acidity all Natural, Single Origin Whole Bean Coffee Notes: Rich Dark Caramel, Milk Chocolate and Sweet Toffee - CoffeaFarms by Coffeeland",$26.99,4.3 out of 5 stars,581,Yes,No
Miele,$44.99,4.1 out of 5 stars,16,Yes,Yes
Coffee Bean Direct,$45.25,4.4 out of 5 stars,"1,609",Yes,No
Cameron's Coffee,$28.00,4.5 out of 5 stars,81,Yes,No
Copper Moon,$19.00,4.4 out of 5 stars,"2,188",No,No
Black Rifle Coffee Company,$17.99,4.5 out of 5 stars,183,Yes,No
Fresh Roasted Coffee,$27.95,4.4 out of 5 stars,"5,690",Yes,No
Allegro Coffee,$11.99,4.3 out of 5 stars,471,Yes,No
Bulletproof,$15.99,4.6 out of 5 stars,"2,347",Yes,Yes
Landmark Coffee,$19.54,4.4 out of 5 stars,325,Yes,No
Allegro Coffee,$11.94,4.5 out of 5 stars,733,Yes,Yes
Fresh Roasted Coffee,$27.95,4.3 out of 5 stars,"3,781",Yes,No
Peet's Coffee,$13.99,4.6 out of 5 stars,"21,276",Yes,No
Barrie House,$21.99,4.3 out of 5 stars,"1,882",Yes,Yes
Lavazza,$118.00,4.7 out of 5 stars,"4,583",No,No
LIFEBOOST,$27.95,4.2 out of 5 stars,"1,849",Yes,Yes
Counter Culture Coffee,$13.12,4.6 out of 5 stars,286,No,Yes
"Member's Mark Colombian Supremo Whole Bean Coffee (40 OZ), Sweet Chocolate & Hazelnut Notes, 40 oz, Medium Dark Roast",$15.98,4.2 out of 5 stars,81,Yes,Yes
Cameron's Coffee,$14.19,4.6 out of 5 stars,769,Yes,No
Coffee Bean Direct,$59.99,4.3 out of 5 stars,163,Yes,Yes
"Royal Kona Whole Bean Coffee, 100% Kona, 7-Ounce Bag",$33.10,4.2 out of 5 stars,"2,324",Yes,No
La Colombe,$14.00,4.3 out of 5 stars,466,Yes,No
1LB. 100% Hawaii Hawaiian Kona Roasted Coffee Beans,$39.99,4.3 out of 5 stars,"1,025",Yes,No
Caffe Umbria,$15.00,4.4 out of 5 stars,"1,069",Yes,No
STUMPTOWN COFFEE ROASTERS,$14.98,4.2 out of 5 stars,"2,212",Yes,Yes
Magnum Exotics,$25.51,4.5 out of 5 stars,595,Yes,No
Fresh Roasted Coffee,$17.95,4.3 out of 5 stars,"3,901",Yes,No
Bulletproof,$15.99,4.6 out of 5 stars,"1,534",Yes,Yes
Jacobs,$32.09,4.5 out of 5 stars,396,Yes,No
Jacobs,$15.00,4.6 out of 5 stars,"1,926",Yes,No
PURITY COFFEE,$26.00,4.4 out of 5 stars,"1,266",Yes,No
Kicking Horse,$9.99,4.5 out of 5 stars,"2,044",Yes,Yes
Verve Coffee Roasters,$17.49,4.2 out of 5 stars,393,No,No
Counter Culture Coffee,$13.49,4.5 out of 5 stars,345,Yes,No
Copper Moon,$20.18,4.2 out of 5 stars,234,Yes,No
Bones Coffee Company,$34.99,4.6 out of 5 stars,"3,214",Yes,Yes
LIFEBOOST,$27.95,4.3 out of 5 stars,204,Yes,Yes
First Colony,$15.99,4.3 out of 5 stars,947,Yes,Yes
Peak Performance,$22.95,4.2 out of 5 stars,"1,626",Yes,Yes
First Colony,$15.99,4.5 out of 5 stars,367,Yes,Yes
Cameron's Coffee,$11.98,4.5 out of 5 stars,"8,385",Yes,No
Counter Culture Coffee,$13.49,4.6 out of 5 stars,"1,023",No,No
Starbucks,$11.99,4.7 out of 5 stars,"29,791",Yes,No
"Bourbon & Whiskey Barrel Aged Coffee - 4-Bag Roasted Coffee Box Set - Bourbon Colombian, Malt Whiskey Sumatra, Rye Whiskey Ethiopian, Rum Barrel Rwanda, (Whole Bean, 4 Ounce (Pack of 4))",$39.95,4.5 out of 5 stars,"3,248",Yes,Yes
La Colombe,$15.00,4.5 out of 5 stars,111,Yes,No
First Colony,$52.60,4.2 out of 5 stars,427,Yes,No
Lucy Jo's Coffee,$14.79,4.3 out of 5 stars,"1,269",Yes,Yes
Kicking Horse,$14.99,4.3 out of 5 stars,205,Yes,Yes
"happy coffee light roast whole bean coffee, 12 oz., notes of cashew & elation, recyclable container, grown & harvested in Colombia, Brazil & Guatemala",$10.19,4.4 out of 5 stars,48,Yes,No
Lavazza,$7.93,4.2 out of 5 stars,324,Yes,No
La Colombe,$13.99,4.5 out of 5 stars,584,No,No
Starbucks,$8.99,4.5 out of 5 stars,222,Yes,No
Tiny Footprint Coffee,$17.49,4.5 out of 5 stars,"1,339",Yes,Yes
Amazon Fresh,$7.49,4.4 out of 5 stars,794,No,Yes
"Jose's Whole Bean Coffee, 2lb 8 oz/40 oz 100% Certified USDA Organic Mayan Blend 100% Arabica Coffee",$23.00,4.5 out of 5 stars,691,Yes,Yes
Equal Exchange,$12.40,4.5 out of 5 stars,"2,057",Yes,Yes
BIGGBY,$33.00,4.4 out of 5 stars,244,Yes,No
365 by Whole Foods Market,$19.49,4.4 out of 5 stars,"5,216",Yes,Yes
INDEPENDENCE COFFEE CO.,$20.75,4.5 out of 5 stars,797,Yes,Yes
Whole Bean Coffee - Organic - Low Acid - Light Roast - Single Origin - 100% Arabica - Nicaraguan Coffee Beans. Direct Trade - Shade-grown - Gourmet Coffee - 12 oz,$19.95,4.2 out of 5 stars,405,Yes,Yes
"Santo Domingo Coffee, 16 oz Bag, Whole Bean Coffee, Medium Roast - Product from the Dominican Republic (Pack of 1)",$11.99,4.7 out of 5 stars,886,No,No
Starbucks,$32.99,4.6 out of 5 stars,"4,591",Yes,No
"100% Hawaiian Kona Coffee, Extra Fancy - Whole Bean - 1lb.",$37.99,4.3 out of 5 stars,879,Yes,No
"Coffee Samples 5 Pack Coffee Gift Set Las Americas. Gourmet Organic Medium Roast whole Bean Coffee with Best Beans From Mexico, Guatemala, Peru, Colombia and Brazil",$19.99,4.0 out of 5 stars,74,Yes,Yes
"Mt Comfort Coffee Guatemala Medium Roast - Exceptional Arabica Beans from Guatemala, Medium Roasted for a Balanced Flavor - Premium Whole Bean Coffee Delight",$13.50,4.5 out of 5 stars,370,Yes,Yes
MOMMEE COFFEE,$14.99,4.4 out of 5 stars,580,Yes,Yes
BLK & Bold,$12.99,4.5 out of 5 stars,"1,428",Yes,Yes
Gold Coffee Kanaloa Blend 2lb Medium Roast Whole Bean Coffee,$21.99,4.4 out of 5 stars,"1,703",Yes,Yes
"Jim’s Organic Coffee – Sweet Love Blend – Whole Bean, Dark Roast, Bold 11 oz Bag",$13.59,4.5 out of 5 stars,349,Yes,Yes
"Jim’s Organic Coffee – Colombian – Single Origin, Medium Roast - Whole Bean 12 oz Bag",$13.89,4.3 out of 5 stars,345,Yes,Yes
